Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-29 00:00:26,0.61,0.16,0.06
2025-06-29 00:01:27,0.62,0.16,0.06
2025-06-29 00:02:27,0.6,0.11,0.06
2025-06-29 00:03:28,0.59,0.12,0.06
2025-06-29 00:04:28,0.58,0.18,0.06
2025-06-29 00:05:29,0.6,0.17,0.06
2025-06-29 00:06:30,0.6,0.23,0.06
2025-06-29 00:07:30,0.61,0.14,0.06
2025-06-29 00:08:31,0.6,0.11,0.06
2025-06-29 00:09:31,0.6,0.12,0.06
2025-06-29 00:10:32,0.6,0.22,0.06
2025-06-29 00:11:32,0.61,0.14,0.06
2025-06-29 00:12:33,0.61,0.12,0.06
2025-06-29 00:13:33,0.59,0.23,0.06
2025-06-29 00:14:34,0.61,0.16,0.06
2025-06-29 00:15:34,0.6,0.12,0.06
2025-06-29 00:16:35,0.6,0.15,0.06
2025-06-29 00:17:35,0.61,0.15,0.06
2025-06-29 00:18:36,0.59,0.25,0.06
2025-06-29 00:19:36,0.61,0.16,0.06
2025-06-29 00:20:37,0.6,0.16,0.06
2025-06-29 00:21:37,0.6,0.14,0.06
2025-06-29 00:22:38,0.61,0.14,0.06
2025-06-29 00:23:38,0.61,0.11,0.06
2025-06-29 00:24:39,0.6,0.18,0.06
2025-06-29 00:25:39,0.61,0.12,0.06
2025-06-29 00:26:40,0.62,0.15,0.06
2025-06-29 00:27:41,0.6,0.13,0.06
2025-06-29 00:28:41,0.6,0.11,0.06
2025-06-29 00:29:42,0.58,0.21,0.06
2025-06-29 00:30:42,0.6,0.14,0.06
2025-06-29 00:31:43,0.6,0.23,0.06
2025-06-29 00:32:43,0.6,0.24,0.06
2025-06-29 00:33:44,0.6,0.24,0.06
2025-06-29 00:34:44,0.6,0.11,0.06
2025-06-29 00:35:45,0.58,0.2,0.06
2025-06-29 00:36:45,0.6,0.12,0.06
2025-06-29 00:37:46,0.61,0.16,0.06
2025-06-29 00:38:46,0.61,0.22,0.06
2025-06-29 00:39:47,0.58,0.2,0.07
2025-06-29 00:40:47,0.58,0.21,0.06
2025-06-29 00:41:48,0.6,0.18,0.06
2025-06-29 00:42:48,0.6,0.13,0.06
2025-06-29 00:43:49,0.61,0.11,0.06
2025-06-29 00:44:49,0.58,0.19,0.06
2025-06-29 00:45:50,0.61,0.12,0.06
2025-06-29 00:46:42,0.61,0.11,0.06
2025-06-29 00:47:43,0.61,0.21,0.06
2025-06-29 00:48:43,0.59,0.22,0.06
2025-06-29 00:49:44,0.62,0.16,0.06
2025-06-29 00:50:44,0.59,0.21,0.06
2025-06-29 00:51:45,0.6,0.12,0.06
2025-06-29 00:52:45,0.61,0.22,0.06
